"client","route","role","screen","source","backend_dependency","loading_state","populated_state","empty_state","offline_state","validation_state","unauthorized_state","recoverable_error_state","success_state","primary_actions","current_test_coverage"
"expo_reference","/account-status","mixed","account-status.tsx","app/account-status.tsx","","not_detected","not_detected","not_detected","not_detected","not_detected","not_detected","not_detected","not_detected","Sign out","reference_client_not_credited_for_android_completion"
"expo_reference","/admin","admin","index.tsx","app/admin/index.tsx","","not_detected","detected","not_detected","not_detected","not_detected","detected","detected","not_detected","View notifications; Support queue; Rules and safety; Admin review required; RevenueCat debug; Open; Monetization hub","reference_client_not_credited_for_android_completion"
"expo_reference","/admin/jobs","admin","jobs.tsx","app/admin/jobs.tsx","","not_detected","detected","detected","not_detected","not_detected","not_detected","detected","not_detected","No jobs","reference_client_not_credited_for_android_completion"
"expo_reference","/admin/reports","admin","reports.tsx","app/admin/reports.tsx","","not_detected","detected","detected","not_detected","not_detected","not_detected","detected","not_detected","No reports; Mark reviewing; Resolve","reference_client_not_credited_for_android_completion"
"expo_reference","/admin/support","admin","support.tsx","app/admin/support.tsx","","not_detected","detected","detected","not_detected","not_detected","not_detected","detected","not_detected","No tickets","reference_client_not_credited_for_android_completion"
"expo_reference","/admin/users","admin","users.tsx","app/admin/users.tsx","","not_detected","detected","detected","not_detected","not_detected","detected","detected","not_detected","No users","reference_client_not_credited_for_android_completion"
"expo_reference","/admin/verification","admin","verification.tsx","app/admin/verification.tsx","","not_detected","detected","detected","not_detected","not_detected","not_detected","detected","detected","No submissions; Approve; Reject","reference_client_not_credited_for_android_completion"
"expo_reference","/adult/applications","adult","applications.tsx","app/adult/applications.tsx","","not_detected","detected","detected","not_detected","not_detected","not_detected","detected","detected","No applications; Dispute proof; Reject; Review proof","reference_client_not_credited_for_android_completion"
"expo_reference","/adult/dashboard","adult","dashboard.tsx","app/adult/dashboard.tsx","","not_detected","detected","detected","not_detected","not_detected","not_detected","detected","detected","Adult Pro planned; Post a teen-safe job; Post; Review applicants; Review; Subscription tools; Open; No posted jobs","reference_client_not_credited_for_android_completion"
"expo_reference","/adult/messages","adult","messages.tsx","app/adult/messages.tsx","","not_detected","detected","detected","not_detected","not_detected","not_detected","detected","not_detected","No threads; Open chat","reference_client_not_credited_for_android_completion"
