"client","route","role","purpose","screen","source","backend_dependency","authorization_requirement","loading_state","populated_state","empty_state","offline_state","validation_state","unauthorized_state","recoverable_error_state","nonrecoverable_error_state","success_state","accessibility","deep_link_support","analytics_event","primary_actions","current_test_coverage","remaining_defect"
"expo_reference","/account-status","mixed","Reference route /account-status","account-status.tsx","app/account-status.tsx","","reference_client_not_credited","not_detected","not_detected","not_detected","not_detected","not_detected","not_detected","not_detected","not_detected","not_detected","not_detected","reference_client_not_credited","reference_client_not_credited","Sign out","reference_client_not_credited_for_android_completion","reference_client_not_credited_for_flutter_completion"
"expo_reference","/admin","admin","Reference route /admin","index.tsx","app/admin/index.tsx","","reference_client_not_credited","not_detected","detected","not_detected","not_detected","not_detected","detected","detected","not_detected","not_detected","not_detected","reference_client_not_credited","reference_client_not_credited","View notifications; Support queue; Rules and safety; Admin review required; RevenueCat debug; Open; Monetization hub","reference_client_not_credited_for_android_completion","reference_client_not_credited_for_flutter_completion"
"expo_reference","/admin/jobs","admin","Reference route /admin/jobs","jobs.tsx","app/admin/jobs.tsx","","reference_client_not_credited","not_detected","detected","detected","not_detected","not_detected","not_detected","detected","not_detected","not_detected","not_detected","reference_client_not_credited","reference_client_not_credited","No jobs","reference_client_not_credited_for_android_completion","reference_client_not_credited_for_flutter_completion"
"expo_reference","/admin/reports","admin","Reference route /admin/reports","reports.tsx","app/admin/reports.tsx","","reference_client_not_credited","not_detected","detected","detected","not_detected","not_detected","not_detected","detected","not_detected","not_detected","not_detected","reference_client_not_credited","reference_client_not_credited","No reports; Mark reviewing; Resolve","reference_client_not_credited_for_android_completion","reference_client_not_credited_for_flutter_completion"
"expo_reference","/admin/support","admin","Reference route /admin/support","support.tsx","app/admin/support.tsx","","reference_client_not_credited","not_detected","detected","detected","not_detected","not_detected","not_detected","detected","not_detected","not_detected","not_detected","reference_client_not_credited","reference_client_not_credited","No tickets","reference_client_not_credited_for_android_completion","reference_client_not_credited_for_flutter_completion"
"expo_reference","/admin/users","admin","Reference route /admin/users","users.tsx","app/admin/users.tsx","","reference_client_not_credited","not_detected","detected","detected","not_detected","not_detected","detected","detected","not_detected","not_detected","not_detected","reference_client_not_credited","reference_client_not_credited","No users","reference_client_not_credited_for_android_completion","reference_client_not_credited_for_flutter_completion"
"expo_reference","/admin/verification","admin","Reference route /admin/verification","verification.tsx","app/admin/verification.tsx","","reference_client_not_credited","not_detected","detected","detected","not_detected","not_detected","not_detected","detected","not_detected","detected","not_detected","reference_client_not_credited","reference_client_not_credited","No submissions; Approve; Reject","reference_client_not_credited_for_android_completion","reference_client_not_credited_for_flutter_completion"
"expo_reference","/adult/applications","adult","Reference route /adult/applications","applications.tsx","app/adult/applications.tsx","","reference_client_not_credited","not_detected","detected","detected","not_detected","not_detected","not_detected","detected","not_detected","detected","not_detected","reference_client_not_credited","reference_client_not_credited","No applications; Dispute proof; Reject; Review proof","reference_client_not_credited_for_android_completion","reference_client_not_credited_for_flutter_completion"
"expo_reference","/adult/dashboard","adult","Reference route /adult/dashboard","dashboard.tsx","app/adult/dashboard.tsx","","reference_client_not_credited","not_detected","detected","detected","not_detected","not_detected","not_detected","detected","not_detected","detected","not_detected","reference_client_not_credited","reference_client_not_credited","Adult Pro planned; Post a teen-safe job; Post; Review applicants; Review; Subscription tools; Open; No posted jobs","reference_client_not_credited_for_android_completion","reference_client_not_credited_for_flutter_completion"
"expo_reference","/adult/messages","adult","Reference route /adult/messages","messages.tsx","app/adult/messages.tsx","","reference_client_not_credited","not_detected","detected","detected","not_detected","not_detected","not_detected","detected","not_detected","not_detected","not_detected","reference_client_not_credited","reference_client_not_credited","No threads; Open chat","reference_client_not_credited_for_android_completion","reference_client_not_credited_for_flutter_completion"
